# HznunujetsYieldsMetBin : yields in met bin
#bin   yield   uncertainty
<200 0 0
200-250 32275.2 78.0929
250-300 11801.6 39.5461
300-350 4931.52 23.8294
350-400 2254.23 13.0552
400-500 1722.27 6.67972
500-650 650.01 2.74795
650-1000 207.09 1.10596
>1000 17.8103 0.322812
