# HzvvEstimate : yields in met bin
#bin   yield   uncertainty
<200 0 0
200-250 32113.1 372.93
250-300 11815.5 198.433
300-350 4980.99 116.736
350-400 2329.47 72.0056
400-500 1841.97 58.899
500-650 689.182 34.7421
650-1000 211.134 20.312
>1000 0 0
