# HzmumujetsYieldsMetBinGenMu : yields in met bin
#bin   yield   uncertainty
<200 0 0
200-250 3566.51 19.3002
250-300 1377.47 9.61777
300-350 610.276 5.89712
350-400 296.609 3.31053
400-500 238.912 1.73117
500-650 90.1809 0.721472
650-1000 26.8293 0.288599
>1000 2.12157 0.0808256
